Category	Vendor Number	Item Number	Item Description	Pack	Bottle Volume (ml)	State Bottle Cost
1081700	384	76038	Midnight Moon Cherry	6	750	$13.56 
1081315	380	84636	Phillips Hot 100 Cinnamon Schnapps	12	750	$6.95 
1012210	305	903082	Macallan Fine Oak 15yr	12	750	$47.47 
1032200	65	35628	Pinnacle Whipped	6	1750	$11.06 
1031100	260	939666	Popov Vodka 100 Prf	12	750	$5.07 
1031200	65	40845	Pucker Vodka Citrus Squeeze	12	750	$9.22 
1032200	492	33648	Kru Pistachio Mini	5	600	$5.80 
1062200	451	43451	Don Q Coconut Rum	12	750	$7.50 
1082900	885	901051	Ginger Liqueur	6	375	$11.50 
1082900	259	902366	Hpnotiq	24	200	$4.29 
1032200	277	34787	Stolichnaya Blueberi	12	1000	$15.97 
1062300	370	42310	Malibu Red PET Mini	12	502	$3.30 
1081390	260	65061	Goldschlager Cinnamon Schnapps Mini	10	600	$13.73 
1051140	434	56206	Paramount Peach Flavored Brandy	12	750	$0.00 
1011100	86	27318	Two Jay's Iowa Corn Whiskey	12	750	$15.50 
1701100	260	692	Crown Royal 1.75L w/50ml CR Maple & CR Black Tray Pack	6	1850	$31.50 
1701100	410	3334	Patron XO Cafe w/ Dark Cocoa Tower	6	750	$14.49 
1081900	86	86661	Bella Limoncello	12	750	$13.94 
1071100	35	56870	Bacardi Cocktails Strawberry Daiquiri Light	6	1750	$10.00 
1701100	370	647	Kahlua w/Absolut 50ml & White Russian Glass	6	800	$11.99 
1081200	434	68868	St. Brendan's Salted Caramel Liqueur	12	750	$7.69 
1031200	300	940559	McCormick Whipped Cream Flavored Vodka	6	1750	$7.47 
1081390	260	904563	Black Haus Blackberry Schnapps	12	1000	$15.00 
1701100	35	1649	Bacardi 8 w/2 Glasses	6	750	$10.50 
1012210	420	902707	Ardbeg Uigeadail	6	750	$51.98 
1071100	65	63363	Skinnygirl Sweet Rita	6	1750	$9.44 
1011200	259	903771	Fighting Cock Bourbon	12	750	$8.96 
1062300	65	45950	Calico Jack Tropical Punch	12	750	$6.30 
1011100	260	27754	Seagrams Seven Crown American Spiced	12	750	$7.00 
1011200	206	27718	Pike Street	6	750	$24.67 
1012100	115	902751	Canadian Mac Naughton Whiskey	6	1750	$10.65 
1031200	260	40956	Smirnoff Strawberry Vodka	12	750	$7.75 
1012100	971	14199	Pendleton Canadian Whisky	6	1750	$21.41 
1701100	492	363	Bird Dog Bourbon w/4-50mls	6	950	$10.00 
1011300	35	86642	Bonnie Rose Spiced Apple	12	750	$11.50 
1011200	287	19880	Michter's US 1 Small Batch	6	750	$22.42 
1081200	260	68046	Bailey's Hazelnut Irish Cream Mini	4	1000	$25.24 
1032080	434	904696	Pearl Plum Vodka	12	750	$7.36 
1032080	293	65266	Jinro Classic Soju	24	375	$2.96 
1012210	370	5086	Glenlivet 16yr Nadurra	6	750	$42.47 
1011500	65	27080	RI(1)	6	750	$21.00 
1081600	85	77080	Southern Comfort And Lime	12	1000	$11.34 
1062300	65	45950	Calico Jack Tropical Punch	12	750	$6.00 
1031200	65	77413	Skinnygirl Island Coconut	12	750	$12.07 
1701100	370	1500	Jameson Irish Whiskey Tin	6	750	$13.15 
1031200	259	41320	Burnett's Watermelon	12	750	$4.48 
1082900	65	64795	Courvoisier Rose	12	750	$14.17 
1032200	434	76665	Pearl Strawberry Basil	12	750	$7.00 
1032080	33	903382	Jewel Of Russia Ultra	6	1000	$60.17 
1022100	35	89121	Cazadores Reposado	12	750	$14.87 
1062300	370	65767	Malibu Peach Sparkler	12	750	$8.49 
1082900	885	901139	Libertine Absinthe(French Absinthe)	6	200	$9.91 
1062200	35	43048	Bacardi Select Rum	6	1750	$12.67 
1011100	260	10582	Cabin Fever Maple Flavored Whiskey	12	750	$10.00 
1011200	373	18906	J.R. Ewing Private Reserve	6	750	$16.00 
1012210	240	904866	Glenfiddich 21yr Gran Reserva HA	3	750	$93.33 
1082900	35	902243	Benedictine Liqueur Dom	12	750	$19.50 
1042100	434	28707	Pearl Gin	12	750	$7.86 
1082900	305	3952	Passion XO Mini Combo Pack	4	600	$5.30 
1022100	260	89164	Don Julio 1942	6	750	$64.99 
1051150	313	902142	Maraska Slivovitz	6	750	$14.61 
1032200	421	35466	Van Gogh Dutch Caramel Vodka	6	750	$13.17 
1031080	421	36973	Nikolai Vodka	48	200	$1.13 
1041100	205	904704	New Amsterdam Mini	12	502	$4.87 
1081700	101	27246	Artisan Grain Original Moonshine	6	750	$12.67 
1081600	91	903458	Celtic Crossing Honey Liqueur	12	750	$11.67 
1052010	885	901176	Armagnac XO 25yr	3	750	$46.69 
1012210	370	902964	Scapa 16yr Sing Malt Scotch	6	750	$44.99 
1011200	85	903024	Early Times Bourbon Square	12	1000	$6.94 
1701100	421	935863	Clix Vodka HA	1	750	$155.99 
1032200	370	34190	Absolut Cherrykran	12	750	$10.89 
1081700	469	67067	Ty Ku Super Premium Soju	6	750	$12.67 
1032200	395	33791	Three Olives Marilyn Monroe Strawberry	12	750	$10.16 
1051010	86	53920	Two Jay's Grappa	12	375	$8.45 
1031200	461	77099	Skyy Barcraft Watermelon Fresca Mini	12	500	$9.94 
1012210	305	5516	Macallan 18yr Single Malt Scotch	12	750	$135.25 
1031200	380	42153	UV Ruby Red Grapefruit	12	750	$6.25 
1701100	85	3495	El Jimador Blanco w/Glass	6	750	$11.15 
1081030	370	67540	Kahlua French Vanilla Liqueur	12	750	$10.99 
1032200	65	33750	Pinnacle Caramel Apple	12	750	$6.87 
1062310	322	77319	Rondiaz Mini	6	500	$4.67 
1081700	384	76033	Midnight Moon Peach Moonshine	6	750	$11.50 
1032200	434	36034	Pearl Peach	12	750	$7.00 
1031200	260	40256	Smirnoff Cinna-Sugar Twist	12	750	$7.75 
1022100	395	89079	Azul Reposado	12	750	$10.92 
1012210	370	5061	Glenlivet 15 Year French Oak	6	750	$24.40 
1071100	65	63351	Skinnygirl Grapefruit Margarita	12	750	$5.77 
1032200	395	34972	Three Olives Cherry Vodka	12	750	$10.67 
1071100	55	57176	Chi-Chi's Skinny Long Island Iced Tea	6	1750	$5.99 
1701100	85	1376	Chambord Liqueur with 2 Ice Cream Bowls	6	750	$18.56 
1031200	260	41954	Godiva Chocolate Vodka	6	750	$16.00 
1011250	421	903568	Blanton's Sing Barrel Bourbon 6pak	6	750	$25.66 
1081900	434	76526	Paramount Melon Liqueur	12	750	$0.00 
1011100	306	27636	Stone Fence Apple Cider Whiskey	12	375	$9.09 
1031200	259	40146	Burnett's Ruby Red Grapefruit	12	750	$4.18 
1032200	370	34015	Absolut Apeach	12	1000	$14.99 
1031200	259	40146	Burnett's Ruby Red Grapefruit	12	750	$4.84 
1082900	370	66187	Pernod D'absinthe	6	750	$36.33 
1011100	380	77256	Revel Stoke Spiced Whiskey	12	750	$4.84 
1011100	86	27318	Two Jay's Iowa Corn Whiskey	12	750	$13.78 
1701100	434	661	El Mayor 50ml Trial Pack	20	150	$3.00 
1012210	65	5596	Mcclelland Highland	12	750	$14.17 
1082900	885	987870	Grapefruit Liqueur	6	100	$7.00 
1012200	305	904224	Compass Box Spice Tree Whisky	6	750	$34.67 
1031200	259	41320	Burnett's Watermelon	12	750	$4.16 
1022100	330	903675	Corazon De Agave Anejo Tequila	6	750	$30.00 
1051150	885	901032	Armagnac XO 10 YR	6	375	$14.26 
1062050	389	42666	Mt. Gay Eclipse Rum	12	750	$8.00 
1011100	492	27692	Bird Dog Apple Flavored Whiskey Mini	5	600	$6.00 
1071100	35	56870	Bacardi Cocktails Strawberry Daiquiri Light	6	1750	$8.00 
1022100	205	87643	Familia Camarena Silver	12	750	$10.99 
1701100	420	4059	Belvedere Pure Ice Crush	6	750	$17.15 
1022100	300	88630	Tarantula Plata 100	12	750	$9.33 
1022100	260	89672	Peligroso Anejo	6	750	$20.00 
1701100	65	1989	Courvoisier VS w/Flask	6	750	$13.43 
1062300	65	902848	Dekuyper Tropical Coconut	12	1000	$7.62 
1062300	35	43117	Bacardi O	12	1000	$9.74 
1031200	260	40992	Smirnoff Melon Vodka	12	750	$7.96 
1041100	399	33226	Rogue Spruce Gin	12	750	$19.30 
1081030	55	67706	Sabroso	12	750	$4.68 
1081200	330	80326	Mc Guires Original Cream Liqueur	12	750	$5.90 
1011200	461	922173	Russell's Reserve 1998 HA	3	750	$125.00 
1032200	395	33773	Three Olives Tartz	12	750	$10.67 
1082900	971	65536	Lucid Absinthe	6	750	$30.50 
1011100	399	904573	Rogue Dead Guy Whiskey	12	750	$22.13 
1082900	35	904642	Nassau Royale	12	1000	$9.35 
1032200	434	35961	Pearl Red Berry Vodka	12	750	$7.00 
1081030	410	67590	Patron XO Cafe Mini	10	300	$9.10 
1032200	492	33866	Kuhl Mango Lemonade Mini	5	600	$5.80 
1081305	350	84710	Paramount Sour Apple Schnapps	12	1000	$5.30 
1032200	370	33987	Absolut Wild Tea	12	750	$10.25 
1051140	259	56004	Christian Bros Peach Mini	10	600	$5.80 
1701100	421	644	Firefly Moonshine 4-200ml	6	800	$9.88 
1011099	85	3005	Chambord Liqueur w/2 Glasses	6	750	$18.56 
1031200	260	40992	Smirnoff Melon Vodka	12	750	$7.59 
1012100	461	10890	Forty Creek	12	750	$12.03 
1051150	65	56366	Dekuyper Coffee Brandy	12	750	$4.66 
1031200	259	940020	Burnetts Cherry Limeade	12	750	$4.84 
1012200	35	4876	Dewars 12yr	12	750	$16.66 
1081700	240	972304	Art In The Age Rhubarb	6	750	$17.50 
1701100	370	483	Absolut Electrik w/2 Glasses	6	750	$11.49 
1012300	240	15938	Tullamore Dew	6	1000	$18.50 
1701100	259	2226	Christian Brothers Holiday Nog	6	1750	$9.46 
1011200	65	19096	Jim Beam Traveler	12	750	$9.22 
1012200	65	905608	McClelland's Islay	6	1750	$23.62 
1081900	434	902242	Black Duck Cranberry Liqueur	6	750	$11.25 
1031200	380	41653	Uv Citruv (citrus) Vodka	12	750	$6.22 
1012210	503	5286	Isle of Jura 10YR	6	750	$24.99 
1012100	260	10815	Crown Royal Maple Mini	10	300	$11.00 
1081030	370	67540	Kahlua French Vanilla Liqueur	12	750	$10.61 
1062300	65	44456	Cruzan Raspberry Rum	12	750	$5.82 
1011300	85	86673	Jack Daniel's Tennessee Honey	6	1750	$27.69 
1032200	260	64573	Ciroc Pineapple	12	750	$18.49 
1031200	259	40608	Burnett's Maple Syrup	12	750	$4.55 
1031200	434	934561	Pearl Coconut Vodka	12	750	$7.85 
1081700	421	986682	Firefly Corn Whiskey Moonshine	12	750	$9.87 
1081200	260	68048	Bailey's Vanilla Cinnamon Mini	4	1000	$12.63 
1031200	380	42079	UV Cake Vodka	12	1000	$7.25 
1081030	370	67341	Avion Espresso	6	750	$9.99 
1041100	259	29566	Burnett's Gin London Dry	12	750	$4.88 
1051150	434	905606	Arrow Ginger Flav Brandy	12	750	$5.38 
1062300	977	46430	Holstein	12	750	$9.58 
1701100	370	730	Absolut w/2 Citron 50ml & 2 Mandrin 50ml	6	950	$11.49 
1071100	65	63356	Skinnygirl Margarita Mini	6	800	$8.92 
1011500	306	27110	Windmill Rye Whiskey	12	375	$9.08 
1062300	65	44499	Cruzan Mango Rum	12	750	$5.88 
1701100	322	593	Kinky Blue 375ml & Pink 375ml w/2 Shot Glasses	6	750	$10.00 
1062300	65	44297	Calico Jack Chocolate Coconut	12	750	$6.30 
1062300	240	942631	Flor De Cana 12yr Centenario	6	750	$19.71 
1031080	111	37742	Salute American Vodka	12	750	$10.00 
1081400	370	902727	Hiram Walker Triple Sec 30prf	12	1000	$3.43 
1031200	461	40835	Skyy Infusions Dragon Fruit	12	750	$8.51 
1701100	65	33737	Pinnacle Peppermint Bark	12	750	$6.87 
1062300	65	44536	Cruzan Orange	12	750	$6.38 
1011100	154	27290	Iowa Shine	12	375	$10.09 
1031200	300	41940	360 Madagascar Vanilla Vodka	12	750	$7.64 
1031080	306	36410	Chick's Vodka	12	750	$10.09 
1031200	461	77094	Skyy Barcraft Margarita Lime	12	750	$10.01 
1701100	85	2228	Woodford Reserve Double Oaked	6	750	$25.70 
1081400	357	64396	Bauchant Orange Liqueur	12	750	$12.33 
1012100	198	904476	8 Seconds Canadian Whiskey	6	750	$16.17 
1011100	492	27741	Bird Dog Blackberry	6	1750	$20.00 
1081365	421	983926	Maui Tropical Schnapps	12	750	$3.67 
1081700	384	976038	Junior Johnson Cherry(do Not Use)	6	750	$13.56 
1051150	885	901066	Italian Brandy	6	100	$6.50 
1031200	260	77902	Smirnoff Peppermint Twist Mini	12	500	$7.47 
1081700	346	27324	Ole Smoky Original Corn Moonshine	12	750	$13.34 
1022100	55	89568	Monte Alban Reposado	12	750	$9.88 
1032200	260	64752	Ciroc Red Berry	12	1000	$22.75 
1082900	305	902029	Rothman & Winter Orchard Apricot Liqueur	12	750	$12.42 
1012200	240	5159	Glenfiddich 14YR	6	750	$26.67 
1081900	885	905079	Yahara Bay Apple Crisp(apple pie)	3	750	$17.80 
1022100	370	87150	Avion Silver	6	750	$21.24 
1012210	240	5012	Glenfiddich 18 Yr Ancient Reserve	12	750	$38.33 
1062300	478	42233	Sugar Island Coconut	12	750	$10.00 
1031200	300	41938	360 Mandarin Orange Vodka	12	750	$10.64 
1011200	421	903760	Weller 12yr Bourbon HA	12	750	$10.39 
1012210	420	5105	Glenmorangie Quinta Ruban	6	750	$28.49 
1062300	35	43340	Bacardi Tangerine Mini	12	500	$5.47 
1011400	259	916186	J. W. Dant 100 Prf Bond Bourbon	12	750	$7.95 
1071100	434	62837	Purple Passion 4 Pack	6	200	$3.55 
1031080	451	35730	Death's Door Vodka	6	750	$14.83 
1032200	370	34030	Absolut Citron (lemon Vodka)	12	750	$10.74 
1701100	370	781	Jameson w/Shot Glass	12	750	$14.49 
1011200	259	903202	Georgia Moon Corn Wsky Fruit Jar 80prf	12	750	$5.87 
1062300	305	42178	Blue Chair Bay Coconut Rum Mini	12	500	$5.05 
1042100	240	28628	Hendrick's Gin	6	1750	$40.10 
1701100	370	3373	Kahlua Sampler Pack	2	3000	$53.94 
1012200	885	987879	Braeval	6	375	$26.39 
1032200	492	33868	Kuhl Mango Lemonade	12	750	$5.56 
1082900	270	65134	Mysambuca	6	750	$16.38 
1032200	65	33783	Pinnacle Rainbow Sherbet	12	750	$6.87 
1081030	259	67426	Copa De Oro Mexican Coffee	12	750	$5.21 
1062300	65	44557	Cruzan Strawberry Rum	12	750	$5.82 
1012210	260	903765	Talisker Single Malt Scotch 10yr	12	750	$31.00 
1701100	65	413	Jim Beam White Triage	6	750	$9.44 
1012300	420	905172	Glenmorangie Taghta HA	6	750	$59.99 
1701100	370	874	The Glenlivet w/50ml 15YR & 18YR	6	850	$22.48 
1012210	305	902244	Macallan 25yr Anniversary Malt HA	6	750	$424.79 
1031200	300	41019	360 Double Chocolate Vodka	12	750	$10.64 
1031200	65	40678	Pucker Vodka Lemonade Lust	12	750	$9.22 
1062310	370	43510	Malibu Island Spiced	12	750	$7.49 
1071100	260	63511	Sandra Lee Cocktail Time Strawberry Margarita	12	750	$7.49 
1031200	300	41467	360 Sorrento Lemon Vodka	12	750	$7.64 
1032200	65	36165	Pinnacle Salted Caramel	12	750	$6.88 
1032200	370	33945	Absolut Hibiskus	12	750	$8.99 
1022100	300	89875	Tarantula Reposado	12	750	$8.99 
1012200	260	905369	Johnnie Walker Odyssey HA	2	750	$498.64 
1011100	229	27597	Red Boot Spiced Whiskey	12	750	$14.25 
1082900	885	901144	Nut Chocolate	6	375	$10.23 
1032200	434	76669	Pearl Vanilla Bean	12	750	$7.85 
1071100	370	62380	Malibu Caribbean Cosmo Cocktail In Bag	6	1750	$9.40 
1082900	375	64446	Berentzen Apple Liqueur	12	750	$10.13 
1062200	35	903796	Bacardi Anejo Mex Rum	12	750	$7.75 
1081900	65	73508	Dekuyper Mixologist Ginger	12	750	$7.35 
1011200	65	19486	Maker's 46	6	750	$23.62 
1032200	65	33782	Pinnacle Rainbow Sherbet Mini	4	600	$5.68 
1701100	260	827	Bulleit Bourbon w/2 Glasses	3	1750	$25.00 
1031080	315	38026	Soldier Valley Vodka	6	750	$14.17 
1031200	260	38002	Smirnoff Coconut	12	750	$8.25 
1062300	298	46105	Cabana Bay Wild Cherry Rum	12	750	$6.08 
1701100	370	67513	Kahlua Cinnamon Spice	12	750	$12.00 
1032200	65	35784	Pinnacle Coconut	12	750	$7.88 
1012200	260	5281	Johnnie Walker Select Cask	6	750	$24.99 
1062300	65	902810	Cruzan Pineapple Rum	12	1000	$8.39 
1082900	885	901145	Nut Chocolate	6	200	$7.46 
1012200	885	901726	Bowmore Scotch	6	50	$9.51 
1032080	305	36296	Zyr Vodka	6	750	$16.87 
1032080	434	34543	Pearl Black Vodka Mini	12	500	$5.00 
1052010	338	902773	Schladerer Williams Birne	6	750	$23.92 
1051010	259	903784	Christian Bros Frost White Brandy	24	375	$3.49 
1012200	260	905339	Johnnie Walker Black	6	1750	$35.00 
1031200	259	41413	Burnett's Pineapple	12	750	$4.17 
1032200	65	34630	Pinnacle Strawberry-Kiwi Vodka	12	750	$7.88 
1031080	322	37145	Opulent Mini	6	500	$4.95 
1012300	370	915606	Green Spot HA	6	750	$24.99 
1012100	434	904762	Canadian Regency Light	6	1750	$7.78 
1701100	35	488	St Germain w/Mini Carafe	6	200	$8.50 
1032200	65	33540	Pinnacle Mimosa	12	750	$7.88 
1081330	306	72434	Big Peach Liqueur	12	375	$9.09 
1011500	461	27126	Russell's Reserve Rye 6YR	6	750	$20.99 
1701100	389	353	Cointreau w/ Lime Squeezer	6	750	$19.98 
1022100	310	904246	Hacienda Vieja	12	750	$13.18 
1031200	300	40658	360 Red Raspberry	12	750	$7.52 
1052010	389	902059	Remy Martin Vsop .100ml	24	100	$4.78 
1082900	10	66787	Skinos	6	750	$16.84 
1032200	267	35456	Sobieski Cytron	12	750	$5.70 
1022100	434	902261	El Mayor Anejo Tequila	6	750	$22.72 
1032080	460	904568	Rue 33 French Vodka	6	1750	$20.74 
1062300	260	904494	Captain Morgan Spiced 100proof Minis	12	502	$8.00 
1022100	395	64613	Jose Cuervo Cinge Mini	12	500	$11.50 
1011250	421	17766	Eagle Rare	6	750	$15.40 
1062300	35	43197	Bacardi Torched Cherry	12	750	$7.58 
1701100	65	3686	Sauza Gold w/Margarita Mix	6	750	$8.93 
1082900	885	987872	Grapefruit Liqueur	6	375	$14.11 
1011200	260	918326	Orphan Barrel Forged Oak HA	6	750	$34.99 
1031200	461	40063	Skyy Infusions Pacific Blueberry Mini	12	500	$9.94 
1032200	395	34997	Three Olives Cherry Vodka	6	1000	$3.37 
1032080	434	904696	Pearl Plum Vodka	12	750	$7.85 
1022100	380	89150	Cabrito Reposado	12	750	$10.48 
1012210	503	5280	Isle of Jura Superstition	6	750	$28.98 
1032200	370	34034	Absolut Citron	24	375	$6.50 
1032080	240	903283	Reyka Vodka	6	750	$12.50 
1082900	295	902393	Alize Red Passion  DNO	12	750	$12.13 
1032200	370	66043	Oddka Salted Caramel Popcorn	12	750	$7.99 
1071100	330	62422	Margaritaville Skinny Island Punch	6	1750	$6.01 
1011200	399	901833	Rogue Single Malt Whiskey	12	750	$26.21 
1012200	260	902258	Talisker 18yr Malt Scotch HA	6	750	$35.93 
1031200	300	41467	360 Sorrento Lemon Vodka	12	750	$6.33 
1042100	370	903613	Plymouth Gin 6pak DNO	6	750	$16.25 
1071100	260	63510	Sandra Lee Cocktail Time Margarita	12	750	$7.49 
1011100	399	904573	Rogue Dead Guy Whiskey	12	750	$21.17 
1012200	885	900234	Cragabus Blended	6	375	$15.24 
1011400	65	16196	Jim Beam Bonded	12	750	$14.17 
1081380	380	902156	Ice Hole Salty Caramel Schnapps	12	750	$5.15 
1082900	240	964121	Anchco Reyes	6	750	$17.67 
1071100	65	63351	Skinnygirl Grapefruit Margarita	12	750	$6.87 
1081900	259	76478	Pama Pomegranate Liqueur	6	750	$12.33 
1022100	395	87401	Jose Cuervo Especial Silver Tequila Mini	12	500	$11.50 
1031200	300	40656	360 Huckleberry Vodka	12	750	$6.33 
1062100	305	901350	Smith And Cross Jamaica Rum	12	750	$16.17 
1082900	255	902120	Fernet Branca	6	750	$16.66 
1071100	35	56828	Bacardi Classic Cocktails Mojito	6	1750	$9.00 
1701100	260	4127	Captain Morgan Original Spiced 1.75L w/CM White 200ml	6	1950	$17.75 
1081700	55	76227	Montezuma Blue	12	1000	$4.66 
1081700	158	27490	Dry Fly Wheat Whiskey	12	750	$25.73 
1011100	229	27597	Red Boot Spiced Whiskey	12	750	$9.99 
1012200	885	901092	Laphroaig	1	1000	$52.79 
1032200	434	33899	Pearl Grape	12	750	$7.85 
1012210	305	5492	Macallan Fine Oak 10 Year	12	750	$18.53 
1071100	260	58823	Parrot Bay Tropical Rum Punch	24	200	$1.19 
1701100	130	64126	Disaronno Amaretto Cavalli Wrap	12	750	$13.86 
1052010	420	48178	Hennessy VS Ryan McGinness Limited Edition	12	750	$18.99 
1101100	229	42149	Dehner Distillery 151	12	750	$7.49 
1011200	55	921242	1792 Sweet Wheat HA	6	750	$18.50 
1081700	55	73627	Di Amore Quattro Orange	12	1000	$9.75 
1031200	461	40821	Skyy Infusions Pineapple	12	750	$8.51 
1081305	350	84710	Paramount Sour Apple Schnapps	12	1000	$4.00 
1012210	391	904755	Glendronach 12yo	1	750	$34.15 
1701100	461	349	Skyy Bundle Up	12	750	$10.01 
1031200	461	40804	Skyy Infusions Citrus	12	750	$9.26 
1081200	260	68022	Bailey's Salted Caramel	12	750	$12.41 
1081380	380	904768	Ice Hole Plum Schnapps	12	1000	$5.15 
1081700	384	76044	Midnight Moon Blueberry	6	750	$13.56 
1081900	125	72954	Cedar Ridge Mangocella	12	375	$8.00 
1022100	85	3676	Herradura Blanco Silver 6x6 Tequila	12	750	$19.94 
1012100	260	904425	Crown Royal Cask 16(DNO)	12	375	$18.98 
1062050	350	902769	El Dorado Special Reserve Rum	6	750	$24.91 
1062300	35	43066	Bacardi Peach Red	12	750	$7.83 
1022100	395	64933	1800 Coconut	12	750	$14.46 
1062300	260	43290	Captain Morgan Coconut Mini	12	500	$4.80 
1701100	305	2959	Absente w/Glass & Spoon	6	750	$22.67 
1051100	115	56804	Paul Masson Red Berry Grande Amber Brandy	24	375	$3.22 
1081300	380	903649	Phillips Peppermint 80prf Schnapps	48	200	$1.45 
1082900	305	66155	Passion XO Sun	6	750	$6.51 
1071100	370	62378	Malibu Carribean Cosmo Light Cocktail in a Bag	6	1750	$7.00 
1081010	55	977136	Di Amore Raspberry	12	750	$6.50 
1031200	260	77375	Smirnoff Sorbet Light Mango Passion Fruit	12	750	$7.75 
1031200	461	40232	Skyy Infusions Georgia Peach	12	750	$8.48 
1022100	434	87646	Exotico Blanco	12	750	$10.00 
1032200	65	33786	Pinnacle Strawberry Shortcake	12	750	$6.88 
1082900	885	900503	Elderflower Liqueur	6	200	$7.53 
1031200	260	40946	Smirnoff Watermelon Vodka	12	750	$7.75 
1701100	65	413	Jim Beam White Triage	6	750	$9.97 
1032200	434	933905	Pearl Whipt Vodka	12	750	$7.85 
1062200	451	903620	Don Q Gold Rum	12	750	$7.29 
1011300	85	904046	Jack Daniel's Sinatra Select Whiskey	6	1000	$100.00 
1701100	370	67508	Kahlua Gingerbread	12	750	$10.50 
1011200	492	19436	Lexington	6	750	$12.53 
1031200	260	41922	Smirnoff Peach Vodka	12	750	$7.75 
1031200	300	41943	360 Georgia Peach Vodka	12	750	$6.64 
1022100	65	988152	901 Tequila HA	6	750	$15.74 
1011200	969	927310	Prichard's Lincoln County Lightning	6	750	$10.40 
1701100	91	34183	Boru Irish Vodka	6	1750	$11.02 
1042100	288	902047	Martin Millers Gin	6	750	$15.83 
1032200	434	33924	Pearl Chocolate Covered Cherry Mini	12	500	$5.00 
1012300	420	905173	Glenmorangie Tusail HA	6	750	$49.99 
1082900	260	66054	Nuvo Lemon Sorbet	12	750	$15.00 
1041100	885	905207	Yahara Bay Gin	6	50	$4.05 
1032080	260	34454	Ketel One Imported Vodka	12	375	$5.62 
1071100	65	63364	Skinnygirl White Cranberry Cosmo	6	1750	$9.44 
1701100	130	663	Disaronno Amaretto w/Sour Mix	12	750	$13.86 
1022100	370	89029	Avion Anejo	6	750	$29.73 
1011200	206	27654	White Water Whiskey	6	750	$11.17 
1031200	260	40957	Smirnoff Strawberry Vodka	12	1000	$9.20 
1701100	260	4127	Captain Morgan Original Spiced 1.75L w/CM White 200ml	6	1950	$18.00 
1012300	885	901068	Irish Peated Single Malt Whiskey	1	1000	$65.32 
1062310	207	46686	Paradise Island Bay Rum	6	750	$14.30 
1031200	260	40986	Smirnoff Blueberry Vodka	12	750	$7.75 
1032080	305	35759	Chopin Rye Vodka	6	750	$15.83 
1011200	259	927223	Parkers HC Promise of Hope	3	750	$49.33 
1012210	370	5034	Glenlivet 12YR	12	375	$9.50 
1071100	55	57178	Chi-Chi's Ruby Red Margarita	24	200	$1.50 
1082900	338	902551	Kammer Williams Pear Brandy W/pear	12	750	$29.50 
1031080	260	937599	Relska 80 Proof Vodka	6	1750	$7.17 
1012200	305	902782	Compass Box Asyla Whisky	6	750	$26.00 
1071100	421	59231	Ice Box Mudslide	6	1750	$6.01 
1011500	374	906065	Few Rye HA	6	750	$30.17 
1081900	370	902162	Hiram Walker Crm De Banana	12	750	$3.90 
1081030	370	67571	Kahlua Mocha Liqueur	12	750	$10.61 
1062200	380	45418	Phillips White Rum	6	1750	$7.50 
1062300	260	903779	Captain Morgan Private Stock Rum	6	1750	$19.50 
1082900	55	904815	Caravella Orangecello	6	750	$10.54 
1032200	229	66167	Penthouse Spirits Cherry Flavored Vodka for Her	6	750	$14.99 
1701100	370	874	The Glenlivet w/50ml 15YR & 18YR	6	850	$21.24 
1081030	295	904581	Tia Maria Coffee Liqueur	12	750	$11.80 
1062300	35	43198	Bacardi Torched Cherry	12	1000	$9.74 
1032200	115	34680	Svedka Grape Vodka	6	750	$7.97 
1012200	370	9428	Passport Scotch	6	1750	$12.56 
1701100	65	409	Jim Beam Black w/4-50mls	6	950	$13.65 
1051110	380	55106	Phillips Blackberry Flav Brandy	12	750	$4.26 
1012200	55	8825	Lauder's Scotch Traveler	12	750	$5.46 
1031200	300	41939	360 Madagascar Vanilla Vodka Mini	6	500	$5.03 
1012210	421	904534	Speyburn Single Malt Scotch	6	750	$12.99 
1031200	259	904761	Burnett's Mango	12	750	$4.83 
1012200	885	900226	Mac Spey Blended	6	200	$9.95 
1011200	421	903639	Old Rip Van Winkle 20yr(pappy) HA	3	750	$49.72 
1032200	434	33927	Pearl Chocolate Covered Cherry	12	750	$7.86 
1071100	260	61752	Jeremiah Weed Half And Half	6	1750	$10.50 
1082900	978	65426	Licor 43	12	750	$12.99 
1011500	65	27056	Jim Beam Rye	12	750	$13.12 
1012100	65	903499	Tangle Ridge Canadian Whisky	12	750	$11.54 
1081900	260	66863	Stirrings Pomegranate Liqueur	12	750	$6.50 
1071100	65	63356	Skinnygirl Margarita Mini	6	800	$4.19 
1032080	277	34744	Stolichnaya Russian Vodka 80prf	24	375	$4.99 
1031200	461	40465	Skyy Infusions Wild Strawberry	12	750	$8.48 
1011400	85	26906	Jack Daniels Single Barrel Why.	6	750	$22.28 
1701100	971	3404	Lucid Balancier Glass Gift Set	6	750	$32.50 
1032200	370	34076	Absolut Vanilia	12	750	$10.74 
1051150	885	901031	Armagnac XO 10 YR	3	750	$30.51 
1031200	259	42063	Burnett's Hot Cinnamon	12	750	$4.17 
1082900	885	901663	Cerises Rogue(Cherry Liqueur)	6	375	$10.66 
1032200	115	35453	Svedka Cherry Vodka	12	750	$6.97 
1081010	305	72596	Bols Amaretto	12	750	$7.17 
1032200	65	35538	Pinnacle County Fair Cotton	12	750	$7.88 
1012200	65	4197	Auchentoshan 12YR	6	750	$25.19 
